dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7,-0.0735,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0823,0.1385,0.7077,0.003,0.1385,0.7065,0.0017,0.1385,0.0125,0.0048,0.0029,0.0,0.0,0.0,-0.0012,-0.1171,-0.0001,0.0012,0.0,0.2356,0.0541,0.0,0.0125,0.0,0.0,0.0,-0.0173,-0.0154,3.0,3.0
0.05,0.7,-0.065,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0735,0.1385,0.7078,0.0015,0.1385,0.7065,0.0016,0.1385,0.0119,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.1046,-0.0001,0.0012,0.0,0.2183,0.0387,0.0,0.0119,0.0,0.0,0.0,-0.0119,-0.0119,3.0,3.0
0.05,0.7,-0.0571,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.065,0.1385,0.7076,0.0028,0.1385,0.7066,0.0031,0.1385,0.0113,0.0046,0.0054,0.0,0.0,0.0,-0.0012,-0.0927,-0.0001,0.0012,0.0,0.2064,0.0268,0.0,0.0113,0.0,0.0,0.0,-0.0159,-0.0166,3.0,3.0
0.05,0.7,-0.0496,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0571,0.1385,0.7077,0.0014,0.1385,0.7065,0.0015,0.1385,0.0106,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0814,-0.0001,0.0012,0.0,0.1905,0.0101,0.0,0.0106,0.0,0.0,0.0,-0.0106,-0.0106,3.0,3.0
0.05,0.7,-0.0427,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0496,0.1385,0.7075,0.0025,0.1385,0.7066,0.0028,0.1385,0.0099,0.0042,0.0047,0.0,0.0,0.0,-0.0012,-0.0708,-0.0001,0.0012,0.0,0.1799,-0.0005,0.0,0.0099,0.0,0.0,0.0,-0.0141,-0.0146,3.0,3.0
0.05,0.7,-0.0362,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0427,0.1385,0.7076,0.0012,0.1385,0.7066,0.0013,0.1385,0.0091,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0609,-0.0001,0.0012,0.0,0.1658,-0.0151,0.0,0.0091,0.0,0.0,0.0,-0.0091,-0.0091,3.0,3.0
0.05,0.7,-0.0304,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0362,0.1385,0.7074,0.0022,0.1385,0.7067,0.0024,0.1385,0.0084,0.0037,0.0041,0.0,0.0,0.0,-0.0012,-0.0517,-0.0001,0.0012,0.0,0.1567,-0.0243,0.0,0.0084,0.0,0.0,0.0,-0.0121,-0.0125,3.0,3.0
0.05,0.7,-0.025,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0304,0.1385,0.7075,0.001,0.1385,0.7066,0.0011,0.1385,0.0076,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0433,-0.0001,0.0012,0.0,0.1446,-0.0367,0.0,0.0076,0.0,0.0,0.0,-0.0076,-0.0076,3.0,3.0
0.05,0.7,-0.0203,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.025,0.1385,0.7073,0.0019,0.1385,0.7067,0.002,0.1385,0.0068,0.0032,0.0034,0.0,0.0,0.0,-0.0012,-0.0358,-0.0,0.0012,0.0,0.137,-0.0443,0.0,0.0068,0.0,0.0,0.0,-0.01,-0.0102,3.0,3.0
0.05,0.7,-0.0161,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0203,0.1385,0.7074,0.0008,0.1385,0.7067,0.0009,0.1385,0.006,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.029,-0.0,0.0012,0.0,0.127,-0.0545,0.0,0.006,0.0,0.0,0.0,-0.006,-0.006,3.0,3.0
0.05,0.7,-0.0124,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0161,0.1385,0.7073,0.0015,0.1385,0.7068,0.0016,0.1385,0.0052,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.023,-0.0,0.0012,0.0,0.121,-0.0605,0.0,0.0052,0.0,0.0,0.0,-0.0052,-0.0052,3.0,3.0
0.05,0.7,-0.0093,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0124,0.1385,0.7071,0.0021,0.1385,0.7069,0.0022,0.1385,0.0044,0.0036,0.0038,0.0,0.0,0.0,-0.0012,-0.0177,-0.0,0.0012,0.0,0.1158,-0.0657,0.0,0.0044,0.0,0.0,-0.0,-0.0081,-0.0082,3.0,3.0
0.05,0.7,-0.0067,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0093,0.1385,0.7072,0.0006,0.1385,0.7068,0.0006,0.1385,0.0037,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0133,-0.0,0.0012,-0.0,0.1078,-0.0739,0.0,0.0037,0.0,0.0,0.0,-0.0037,-0.0037,3.0,3.0
0.05,0.7,-0.0046,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0067,0.1385,0.7072,0.001,0.1385,0.7069,0.001,0.1385,0.003,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0096,-0.0,0.0012,0.0,0.1041,-0.0776,0.0,0.003,0.0,0.0,0.0,-0.003,-0.003,3.0,3.0
0.05,0.7,-0.003,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0046,0.1385,0.7071,0.0013,0.1385,0.7069,0.0014,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0066,-0.0,0.0012,0.0,0.1011,-0.0806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,-0.0018,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0046,0.1385,0.7069,0.0013,0.1385,0.7071,0.0013,0.1385,0.0041,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0066,-0.0,0.0012,0.0,0.1011,-0.0806,0.0,0.0041,0.0,0.0,0.0,-0.0041,-0.0041,3.0,3.0
0.05,0.7,-0.0009,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0018,0.1385,0.7071,0.0018,0.1385,0.7069,0.0018,0.1385,0.0,0.0031,0.0031,0.0,0.0,0.0,-0.0012,-0.0025,-0.0,0.0012,0.0,0.097,-0.0846,0.0,0.0,0.0,0.0,-0.0,-0.0031,-0.0031,3.0,3.0
0.05,0.7,-0.0004,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0018,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0025,-0.0,0.0012,0.0,0.0939,-0.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,-0.0001,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0018,0.1385,0.707,0.0,0.1385,0.707,-0.0,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0025,-0.0,0.0012,0.0,0.0939,-0.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,-0.0,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0018,0.1385,0.707,0.0,0.1385,0.707,-0.0,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0025,-0.0,0.0012,0.0,0.0939,-0.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0,0.1385,0.707,0.0,0.1385,0.707,0.0,0.1385,0.7,-0.0018,0.1385,0.707,0.0,0.1385,0.707,-0.0,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,-0.0025,-0.0,0.0012,0.0,0.0939,-0.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
