dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7,0.1364,0.2749,0.7,0.0455,0.184,0.7,0.0455,0.184,0.6998,0.1345,0.2729,0.6999,0.0448,0.1833,0.6996,0.0449,0.1833,0.0035,0.0,0.0091,0.0,0.0,0.0,0.0921,0.1858,-0.0171,0.0936,-0.1457,-0.0598,-0.2362,0.0012,0.0025,-0.0005,0.0013,-0.0021,-0.0025,-0.0019,3.0,3.0
0.05,0.7,0.1382,0.2767,0.7,0.0461,0.1845,0.7,0.0461,0.1845,0.6998,0.1364,0.2749,0.6999,0.0452,0.1838,0.6996,0.0455,0.1838,0.0033,0.0031,0.0092,0.0,0.0,0.0,0.0933,0.1883,-0.0175,0.0949,-0.1478,-0.0624,-0.2381,0.0011,0.0023,-0.0004,0.0012,-0.001,-0.001,-0.0018,3.0,3.0
0.05,0.7,0.1398,0.2783,0.7,0.0466,0.1851,0.7,0.0466,0.1851,0.6998,0.1382,0.2766,0.6999,0.0463,0.1848,0.6996,0.0461,0.1848,0.003,0.0,0.0095,0.0,0.0,0.0,0.0944,0.1906,-0.0179,0.0961,-0.1489,-0.0633,-0.2399,0.001,0.0022,-0.0004,0.0011,-0.002,-0.0022,-0.0017,3.0,3.0
0.05,0.7,0.1413,0.2798,0.7,0.0471,0.1856,0.7,0.0471,0.1856,0.6999,0.1398,0.2783,0.6999,0.0466,0.185,0.6996,0.0466,0.185,0.0,0.0029,0.0096,0.0,0.0,0.0,0.0955,0.1927,-0.0183,0.0972,-0.1509,-0.0655,-0.2416,-0.0,-0.0,0.0,-0.0,0.0009,0.0007,0.0005,3.0,3.0
0.05,0.7,0.1427,0.2812,0.7,0.0476,0.1861,0.7,0.0476,0.1861,0.7005,0.1399,0.2784,0.7,0.047,0.1856,0.7,0.0469,0.1856,0.0053,0.0029,0.0098,0.0,0.0,0.0,0.0955,0.1927,-0.0183,0.0972,-0.15,-0.0648,-0.2411,0.0018,0.0038,-0.0007,0.0019,-0.0028,-0.0031,-0.0031,3.0,3.0
0.05,0.7,0.1439,0.2824,0.7,0.048,0.1865,0.7,0.048,0.1865,0.6997,0.1427,0.2811,0.6998,0.048,0.1865,0.6994,0.0477,0.1864,0.0,0.0028,0.0101,0.0,0.0,0.0,0.0973,0.1965,-0.0191,0.0991,-0.1529,-0.0679,-0.2442,0.0,-0.0,0.0,0.0,-0.0,-0.0002,0.0001,3.0,3.0
0.05,0.7,0.145,0.2835,0.7,0.0483,0.1868,0.7,0.0483,0.1868,0.7004,0.1428,0.2813,0.7,0.0479,0.1864,0.7,0.0477,0.1864,0.0043,0.003,0.0101,0.0,0.0,0.0,0.0973,0.1965,-0.0191,0.0991,-0.1529,-0.068,-0.2441,0.0015,0.003,-0.0006,0.0016,-0.0023,-0.0025,-0.0025,3.0,3.0
0.05,0.7,0.146,0.2845,0.7,0.0487,0.1872,0.7,0.0487,0.1872,0.6998,0.145,0.2835,0.6998,0.0487,0.1872,0.6995,0.0484,0.1871,0.0,0.003,0.0103,0.0,0.0,0.0,0.0988,0.1996,-0.0196,0.1007,-0.1552,-0.0705,-0.2466,0.0,0.0,0.0,0.0,-0.0,-0.0002,0.0,3.0,3.0
0.05,0.7,0.1469,0.2854,0.7,0.049,0.1874,0.7,0.049,0.1874,0.7004,0.1451,0.2836,0.7,0.0486,0.1871,0.7,0.0484,0.1871,0.0033,0.0031,0.0103,0.0,0.0,0.0,0.0988,0.1996,-0.0196,0.1007,-0.1553,-0.0707,-0.2466,0.0011,0.0024,-0.0005,0.0012,-0.0018,-0.0019,-0.0019,3.0,3.0
0.05,0.7,0.1476,0.2861,0.7,0.0492,0.1877,0.7,0.0492,0.1877,0.6998,0.1469,0.2853,0.6999,0.0492,0.1877,0.6996,0.0489,0.1877,0.0,0.0031,0.0105,0.0,0.0,0.0,0.0999,0.202,-0.0201,0.1019,-0.1571,-0.0726,-0.2485,0.0,-0.0,0.0,0.0,-0.0001,-0.0001,0.0,3.0,3.0
