dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7,0.0941,0.2326,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7007,0.102,0.2404,0.5056,-0.0015,0.1377,0.5067,-0.0016,0.1376,0.0153,0.0053,0.0165,0.0,0.0,0.0,-0.03,0.1453,0.0043,0.1736,-0.194,-0.0565,-0.3284,-0.0052,-0.011,0.0004,-0.0054,0.0141,0.015,0.0134,3.0,3.0
0.05,0.7,0.0864,0.2249,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7007,0.0941,0.2325,0.5055,-0.0014,0.1377,0.5066,-0.0015,0.1376,0.0149,0.0049,0.0148,0.0,0.0,0.0,-0.0352,0.1343,0.0047,0.1682,-0.1799,-0.0416,-0.315,-0.0051,-0.0107,0.0003,-0.0052,0.0138,0.0146,0.0131,3.0,3.0
0.05,0.7,0.0791,0.2176,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7007,0.0864,0.2249,0.5055,-0.0014,0.1376,0.5066,-0.0014,0.1376,0.0144,0.0046,0.0133,0.0,0.0,0.0,-0.0403,0.1236,0.005,0.1629,-0.1661,-0.027,-0.302,-0.005,-0.0103,0.0001,-0.0051,0.0134,0.0141,0.0127,3.0,3.0
0.05,0.7,0.072,0.2105,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7007,0.0791,0.2175,0.5055,-0.0013,0.1376,0.5065,-0.0014,0.1376,0.0139,0.0044,0.0118,0.0,0.0,0.0,-0.0453,0.1133,0.0051,0.1578,-0.1527,-0.0129,-0.2892,-0.0048,-0.01,0.0,-0.0049,0.013,0.0136,0.0124,3.0,3.0
0.05,0.7,0.0652,0.2037,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7007,0.072,0.2105,0.5054,-0.0013,0.1376,0.5064,-0.0013,0.1376,0.0134,0.0042,0.0105,0.0,0.0,0.0,-0.0501,0.1033,0.0052,0.1529,-0.1396,0.0007,-0.2769,-0.0046,-0.0096,-0.0,-0.0047,0.0126,0.0131,0.0119,3.0,3.0
0.05,0.7,0.0588,0.1973,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7006,0.0652,0.2037,0.5054,-0.0012,0.1376,0.5064,-0.0012,0.1376,0.0128,0.0042,0.0093,0.0,0.0,0.0,-0.0548,0.0937,0.0051,0.1482,-0.127,0.0139,-0.2649,-0.0045,-0.0092,-0.0001,-0.0045,0.0121,0.0126,0.0115,3.0,3.0
0.05,0.7,0.0526,0.1911,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7006,0.0588,0.1972,0.5053,-0.0012,0.1376,0.5063,-0.0012,0.1376,0.0122,0.0041,0.0082,0.0,0.0,0.0,-0.0592,0.0845,0.005,0.1437,-0.1149,0.0264,-0.2535,-0.0043,-0.0087,-0.0002,-0.0043,0.0116,0.012,0.011,3.0,3.0
0.05,0.7,0.0469,0.1853,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7006,0.0526,0.1911,0.5053,-0.0011,0.1376,0.5062,-0.0011,0.1376,0.0116,0.004,0.0072,0.0,0.0,0.0,-0.0635,0.0758,0.0048,0.1394,-0.1033,0.0384,-0.2425,-0.004,-0.0083,-0.0003,-0.0041,0.011,0.0114,0.0105,3.0,3.0
0.05,0.7,0.0414,0.1799,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7006,0.0469,0.1853,0.5053,-0.001,0.1376,0.5061,-0.001,0.1376,0.011,0.0039,0.0064,0.0,0.0,0.0,-0.0675,0.0675,0.0046,0.1353,-0.0923,0.0497,-0.232,-0.0038,-0.0078,-0.0003,-0.0038,0.0105,0.0107,0.0099,3.0,3.0
0.05,0.7,0.0363,0.1748,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7005,0.0414,0.1799,0.5052,-0.001,0.1377,0.5061,-0.001,0.1377,0.0103,0.0037,0.0056,0.0,0.0,0.0,-0.0714,0.0597,0.0043,0.1315,-0.0818,0.0605,-0.2221,-0.0036,-0.0073,-0.0003,-0.0036,0.0098,0.0101,0.0093,3.0,3.0
0.05,0.7,0.0316,0.1701,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7005,0.0363,0.1748,0.5052,-0.0009,0.1377,0.506,-0.0009,0.1377,0.0096,0.0036,0.0049,0.0,0.0,0.0,-0.075,0.0524,0.0039,0.1279,-0.072,0.0705,-0.2128,-0.0034,-0.0068,-0.0004,-0.0034,0.0092,0.0094,0.0087,3.0,3.0
0.05,0.7,0.0272,0.1657,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7005,0.0316,0.17,0.5052,-0.0009,0.1378,0.5059,-0.0009,0.1377,0.0089,0.0034,0.0043,0.0,0.0,0.0,-0.0783,0.0456,0.0036,0.1245,-0.0628,0.0799,-0.2041,-0.0031,-0.0063,-0.0004,-0.0031,0.0086,0.0087,0.0081,3.0,3.0
0.05,0.7,0.0232,0.1617,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7004,0.0272,0.1656,0.5052,-0.0008,0.1378,0.5058,-0.0008,0.1378,0.0082,0.0032,0.0037,0.0,0.0,0.0,-0.0814,0.0393,0.0032,0.1214,-0.0542,0.0886,-0.1959,-0.0029,-0.0058,-0.0004,-0.0029,0.0079,0.008,0.0075,3.0,3.0
0.05,0.7,0.0195,0.158,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7004,0.0232,0.1616,0.5051,-0.0007,0.1378,0.5058,-0.0007,0.1378,0.0074,0.0029,0.0033,0.0,0.0,0.0,-0.0843,0.0335,0.0028,0.1185,-0.0463,0.0966,-0.1884,-0.0026,-0.0053,-0.0004,-0.0026,0.0072,0.0073,0.0069,3.0,3.0
0.05,0.7,0.0162,0.1547,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7004,0.0195,0.158,0.5051,-0.0007,0.1379,0.5057,-0.0007,0.1379,0.0067,0.0,0.0028,0.0,0.0,0.0,-0.0869,0.0282,0.0025,0.1159,-0.0391,0.1039,-0.1816,-0.0024,-0.0048,-0.0004,-0.0024,0.0057,0.0048,0.0062,3.0,3.0
0.05,0.7,0.0133,0.1517,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7003,0.0162,0.1547,0.5052,-0.0013,0.1376,0.5056,-0.0006,0.1376,0.006,0.0043,0.0031,0.0,0.0,0.0,-0.0893,0.0235,0.0021,0.1135,-0.0335,0.1087,-0.1753,-0.0021,-0.0043,-0.0003,-0.0021,0.0068,0.0078,0.0056,3.0,3.0
0.05,0.7,0.0106,0.1491,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7003,0.0133,0.1517,0.5051,-0.0005,0.138,0.5055,-0.0005,0.138,0.0053,0.0,0.0,0.0,0.0,0.0,-0.0914,0.0192,0.0018,0.1114,-0.0267,0.1165,-0.1697,-0.0019,-0.0038,-0.0003,-0.0019,0.0037,0.0038,0.0038,3.0,3.0
0.05,0.7,0.0084,0.1469,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7003,0.0106,0.1491,0.5051,-0.001,0.1375,0.5054,-0.0009,0.1375,0.0046,0.0039,0.0037,0.0,0.0,0.0,-0.0932,0.0154,0.0014,0.1095,-0.023,0.1203,-0.166,-0.0016,-0.0033,-0.0003,-0.0016,0.0061,0.0061,0.0056,3.0,3.0
0.05,0.7,0.0064,0.1449,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7002,0.0084,0.1468,0.5051,-0.0004,0.1381,0.5054,-0.0004,0.1381,0.004,0.0,0.0,0.0,0.0,0.0,-0.0949,0.0121,0.0012,0.1079,-0.0169,0.1263,-0.1604,-0.0014,-0.0028,-0.0003,-0.0014,0.0028,0.0028,0.0028,3.0,3.0
0.05,0.7,0.0048,0.1433,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7002,0.0064,0.1449,0.5051,-0.0008,0.1377,0.5053,-0.0007,0.1377,0.0034,0.003,0.0,0.0,0.0,0.0,-0.0963,0.0093,0.0009,0.1065,-0.0141,0.1292,-0.1576,-0.0012,-0.0024,-0.0002,-0.0012,0.0034,0.0045,0.0024,3.0,3.0
0.05,0.7,0.0034,0.1419,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7002,0.0048,0.1433,0.505,-0.0003,0.1378,0.5052,-0.0009,0.1378,0.0,0.0,0.0031,0.0,0.0,0.0,-0.0974,0.0069,0.0007,0.1053,-0.0107,0.1337,-0.1552,0.0,0.0,0.0,0.0,0.0009,0.0,0.0024,3.0,3.0
0.05,0.7,0.0023,0.1408,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7,0.0048,0.1433,0.505,-0.0003,0.1381,0.505,-0.0,0.1381,0.005,0.0,0.0,0.0,0.0,0.0,-0.0974,0.0069,0.0007,0.1053,-0.0097,0.1337,-0.1528,-0.0018,-0.0035,-0.0003,-0.0018,0.0035,0.0035,0.0035,3.0,3.0
0.05,0.7,0.0015,0.14,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7002,0.0023,0.1408,0.5051,-0.0007,0.1377,0.5054,-0.0004,0.1377,0.0,0.003,0.0,0.0,0.0,0.0,-0.0992,0.0034,0.0003,0.1036,-0.0062,0.1372,-0.1492,0.0,0.0,0.0,0.0,0.0011,0.002,0.0,3.0,3.0
0.05,0.7,0.0009,0.1394,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7,0.0023,0.1408,0.505,-0.0,0.1381,0.5049,-0.0004,0.1381,0.003,0.0,0.0,0.0,0.0,0.0,-0.0992,0.0034,0.0003,0.1036,-0.0051,0.1392,-0.1492,-0.001,-0.0021,-0.0002,-0.001,0.0021,0.0021,0.0021,3.0,3.0
0.05,0.7,0.0005,0.139,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7001,0.0009,0.1394,0.505,-0.0003,0.1378,0.5052,-0.0006,0.1378,0.0,0.0,0.0,0.0,0.0,0.0,-0.1002,0.0013,0.0001,0.1025,-0.003,0.1414,-0.1471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0002,0.1387,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7,0.0009,0.1394,0.505,-0.0003,0.1378,0.5049,-0.0006,0.1378,0.0,0.0,0.0,0.0,0.0,0.0,-0.1002,0.0013,0.0001,0.1025,-0.003,0.1414,-0.1471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0001,0.1386,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7,0.0009,0.1394,0.505,-0.0003,0.1378,0.5049,-0.0006,0.1378,0.0,0.0,0.0,0.0,0.0,0.0,-0.1002,0.0013,0.0001,0.1025,-0.003,0.1414,-0.1471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,0.0,0.1385,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7,0.0009,0.1394,0.505,-0.0003,0.1378,0.5049,-0.0006,0.1378,0.0,0.0,0.0,0.0,0.0,0.0,-0.1002,0.0013,0.0001,0.1025,-0.003,0.1414,-0.1471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.05,0.7,-0.0,0.1385,0.505,0.0,0.1385,0.505,0.0,0.1385,0.7,0.0009,0.1394,0.505,-0.0003,0.1378,0.5049,-0.0006,0.1378,0.0,0.0,0.0,0.0,0.0,0.0,-0.1002,0.0013,0.0001,0.1025,-0.003,0.1414,-0.1471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
